Date,Time,Cal,Uncal
2020/09/27,12:31:54,33,22
2020/09/27,12:32:04,33,19
2020/09/27,12:32:14,33,22
2020/09/27,12:32:24,31,31
2020/09/27,12:32:34,34,34
2020/09/27,12:32:44,42,40
2020/09/27,12:32:54,45,40
2020/09/27,12:33:04,34,35
2020/09/27,12:33:14,32,30
2020/09/27,12:33:24,34,24
2020/09/27,12:33:34,33,21
2020/09/27,12:33:44,34,20
2020/09/27,12:33:54,33,18
2020/09/27,12:34:04,43,19
2020/09/27,12:34:14,34,24
2020/09/27,12:34:24,33,26
2020/09/27,12:34:34,36,24
2020/09/27,12:34:44,34,18
2020/09/27,12:34:54,33,15
2020/09/27,12:35:04,33,13
2020/09/27,12:35:14,37,16
2020/09/27,12:35:24,31,18
2020/09/27,12:35:34,33,20
2020/09/27,12:35:44,32,21
2020/09/27,12:35:54,32,20
2020/09/27,12:36:04,31,19
2020/09/27,12:36:14,32,17
2020/09/27,12:36:24,36,17
2020/09/27,12:36:34,32,19
2020/09/27,12:36:44,31,19
2020/09/27,12:36:54,31,16
2020/09/27,12:37:04,32,17
2020/09/27,12:37:14,35,14
2020/09/27,12:37:24,40,20
2020/09/27,12:37:34,31,22
2020/09/27,12:37:44,32,24
2020/09/27,12:37:54,33,23
2020/09/27,12:38:04,40,21
2020/09/27,12:38:14,32,18
2020/09/27,12:38:24,34,16
2020/09/27,12:38:34,32,16
2020/09/27,12:38:44,32,16
2020/09/27,12:38:54,31,17
2020/09/27,12:39:04,34,16
2020/09/27,12:39:14,44,15
2020/09/27,12:39:24,41,17
2020/09/27,12:39:34,41,18
2020/09/27,12:39:44,43,30
2020/09/27,12:39:54,41,54
2020/09/27,12:40:04,34,65
2020/09/27,12:40:14,35,49
2020/09/27,12:40:24,38,30
2020/09/27,12:40:34,36,28
2020/09/27,12:40:44,36,22
2020/09/27,12:40:54,32,19
2020/09/27,12:41:04,39,20
2020/09/27,12:41:14,42,19
2020/09/27,12:41:24,40,20
2020/09/27,12:41:34,41,18
2020/09/27,12:41:44,41,16
2020/09/27,12:41:54,39,17
2020/09/27,12:42:04,43,16
2020/09/27,12:42:14,43,17
2020/09/27,12:42:24,39,15
2020/09/27,12:42:34,38,17
2020/09/27,12:42:44,37,17
2020/09/27,12:42:54,32,16
2020/09/27,12:43:04,32,19
2020/09/27,12:43:14,31,20
2020/09/27,12:43:24,32,20
2020/09/27,12:43:34,40,17
2020/09/27,12:43:44,36,15
2020/09/27,12:43:54,38,16
2020/09/27,12:44:04,40,15
2020/09/27,12:44:14,32,15
2020/09/27,12:44:24,33,16
2020/09/27,12:44:34,38,18
2020/09/27,12:44:44,31,17
2020/09/27,12:44:54,30,16
2020/09/27,12:45:04,32,14
2020/09/27,12:45:14,34,17
2020/09/27,12:45:24,33,20
2020/09/27,12:45:34,33,18
