Weekly SST data starts week centered on 3Jan1990 
Nino34
"Date","SST","SSTA"
"1990Jan03",26.6,0
"1990Jan10",26.6,0.1
"1990Jan17",26.5,-0.1
"1990Jan24",26.5,-0.1
"1990Jan31",26.7,0.1
"1990Feb07",26.8,0.1
"1990Feb14",26.9,0.2
"1990Feb21",27.1,0.3
"1990Feb28",27.2,0.3
"1990Mar07",27.3,0.2
"1990Mar14",27.3,0.1
"1990Mar21",27.6,0.3
"1990Mar28",27.8,0.3
"1990Apr04",27.9,0.4
"1990Apr11",27.9,0.2
"1990Apr18",28,0.2
"1990Apr25",28.2,0.4
"1990May02",28.1,0.3
"1990May09",28.1,0.3
"1990May16",28,0.2
"1990May23",28.1,0.3
"1990May30",27.9,0.2
"1990Jun06",27.7,0
"1990Jun13",27.7,0
"1990Jun20",27.5,-0.1
"1990Jun27",27.3,-0.2
"1990Jul04",27.3,-0.1
"1990Jul11",27.2,-0.1
"1990Jul18",27.4,0.2
"1990Jul25",27.3,0.1
"1990Aug01",27.1,0.1
"1990Aug08",27.2,0.3
"1990Aug15",27,0.2
"1990Aug22",27,0.2
"1990Aug29",26.9,0.2
"1990Sep05",26.7,0
"1990Sep12",26.7,0
"1990Sep19",26.8,0
"1990Sep26",26.7,0
"1990Oct03",26.9,0.2
"1990Oct10",27,0.3
"1990Oct17",27,0.3
"1990Oct24",27,0.4
"1990Oct31",26.9,0.2
"1990Nov07",26.9,0.3
"1990Nov14",26.7,0
"1990Nov21",26.6,0
"1990Nov28",26.5,-0.1
"1990Dec05",26.9,0.3
"1990Dec12",26.8,0.3
"1990Dec19",26.9,0.4
"1990Dec26",27,0.4
"1991Jan02",26.9,0.4
"1991Jan09",27,0.4
"1991Jan16",27,0.5
"1991Jan23",27.1,0.5
"1991Jan30",27,0.3
"1991Feb06",27,0.3
"1991Feb13",27,0.3
"1991Feb20",26.9,0.1
"1991Feb27",26.8,-0.1
"1991Mar06",26.8,-0.2
"1991Mar13",27.1,-0.1
"1991Mar20",27.4,0.1
"1991Mar27",27.7,0.3
"1991Apr03",27.8,0.2
"1991Apr10",27.8,0.1
"1991Apr17",28.2,0.4
"1991Apr24",28.1,0.3
"1991May01",28.1,0.3
"1991May08",28.3,0.5
"1991May15",28.4,0.5
"1991May22",28.5,0.7
"1991May29",28.5,0.7
"1991Jun05",28.3,0.6
"1991Jun12",28.3,0.6
"1991Jun19",28.4,0.8
"1991Jun26",28.4,0.9
"1991Jul03",28.1,0.7
"1991Jul10",28.1,0.8
"1991Jul17",27.9,0.7
"1991Jul24",27.7,0.5
"1991Jul31",27.9,0.9
"1991Aug07",27.5,0.6
"1991Aug14",27.6,0.7
"1991Aug21",27.4,0.6
"1991Aug28",27,0.3
"1991Sep04",27.1,0.3
"1991Sep11",26.9,0.1
"1991Sep18",27.2,0.5
"1991Sep25",27.1,0.4
"1991Oct02",27.2,0.5
"1991Oct09",27.7,1
"1991Oct16",27.8,1.1
"1991Oct23",27.6,0.9
"1991Oct30",27.8,1.1
"1991Nov06",27.8,1.1
"1991Nov13",27.8,1.1
"1991Nov20",27.9,1.3
"1991Nov27",28,1.4
"1991Dec04",28.1,1.5
"1991Dec11",28.3,1.7
"1991Dec18",28.5,2
"1991Dec25",28.5,1.9
"1992Jan01",28.5,1.9
"1992Jan08",28.5,1.9
"1992Jan15",28.4,1.9
"1992Jan22",28.4,1.8
"1992Jan29",28.3,1.7
"1992Feb05",28.4,1.7
"1992Feb12",28.6,1.9
"1992Feb19",28.8,2
"1992Feb26",28.8,1.9
"1992Mar04",28.6,1.6
"1992Mar11",28.7,1.6
"1992Mar18",28.8,1.6
"1992Mar25",29,1.6
"1992Apr01",29.1,1.6
"1992Apr08",29.3,1.6
"1992Apr15",29.2,1.4
"1992Apr22",29,1.2
"1992Apr29",29.1,1.2
"1992May06",29.2,1.3
"1992May13",29.1,1.2
"1992May20",29,1.1
"1992May27",28.8,1.1
"1992Jun03",28.6,0.9
"1992Jun10",28.3,0.6
"1992Jun17",27.8,0.2
"1992Jun24",27.6,0.1
"1992Jul01",27.6,0.1
"1992Jul08",28,0.7
"1992Jul15",27.7,0.5
"1992Jul22",27.2,0
"1992Jul29",27.1,0.1
"1992Aug05",26.7,-0.2
"1992Aug12",26.6,-0.3
"1992Aug19",26.6,-0.3
"1992Aug26",26.7,-0.1
"1992Sep02",26.3,-0.4
"1992Sep09",26.4,-0.3
"1992Sep16",26.5,-0.2
"1992Sep23",26.5,-0.2
"1992Sep30",26.6,-0.1
"1992Oct07",26.4,-0.3
"1992Oct14",26.4,-0.3
"1992Oct21",26.2,-0.5
"1992Oct28",26.2,-0.4
"1992Nov04",26.3,-0.4
"1992Nov11",26.6,-0.1
"1992Nov18",26.4,-0.2
"1992Nov25",26.7,0
"1992Dec02",26.7,0.1
"1992Dec09",26.8,0.2
"1992Dec16",26.7,0.1
"1992Dec23",26.8,0.2
"1992Dec30",26.6,0
"1993Jan06",26.7,0.1
"1993Jan13",26.8,0.2
"1993Jan20",26.6,0
"1993Jan27",26.7,0
"1993Feb03",26.9,0.3
"1993Feb10",26.8,0.1
"1993Feb17",27,0.2
"1993Feb24",27.1,0.2
"1993Mar03",27.2,0.2
"1993Mar10",27.4,0.3
"1993Mar17",27.7,0.4
"1993Mar24",28,0.7
"1993Mar31",28.2,0.7
"1993Apr07",28.3,0.6
"1993Apr14",28.8,1.1
"1993Apr21",28.7,0.9
"1993Apr28",28.8,1
"1993May05",28.8,1
"1993May12",28.9,1
"1993May19",28.8,1
"1993May26",28.9,1.1
"1993Jun02",28.6,0.9
"1993Jun09",28.3,0.6
"1993Jun16",28.2,0.6
"1993Jun23",28.2,0.7
"1993Jun30",28.1,0.6
"1993Jul07",27.9,0.6
"1993Jul14",27.4,0.2
"1993Jul21",27.5,0.4
"1993Jul28",27.2,0.1
"1993Aug04",26.8,-0.2
"1993Aug11",26.9,0
"1993Aug18",26.8,0
"1993Aug25",26.9,0.1
"1993Sep01",26.9,0.2
"1993Sep08",26.8,0.1
"1993Sep15",26.9,0.2
"1993Sep22",27,0.3
"1993Sep29",27,0.3
"1993Oct06",26.9,0.2
"1993Oct13",27,0.3
"1993Oct20",26.6,0
"1993Oct27",27.1,0.4
"1993Nov03",27.2,0.5
"1993Nov10",26.9,0.2
"1993Nov17",26.9,0.2
"1993Nov24",26.7,0.1
"1993Dec01",26.9,0.3
"1993Dec08",26.9,0.4
"1993Dec15",26.8,0.3
"1993Dec22",26.6,0.1
"1993Dec29",26.5,-0.1
"1994Jan05",26.7,0.1
"1994Jan12",26.7,0.2
"1994Jan19",26.5,-0.1
"1994Jan26",26.5,-0.2
"1994Feb02",26.6,0
"1994Feb09",26.7,0
"1994Feb16",26.6,-0.1
"1994Feb23",26.4,-0.5
"1994Mar02",26.6,-0.3
"1994Mar09",27.2,0.1
"1994Mar16",27.4,0.2
"1994Mar23",27.3,-0.1
"1994Mar30",27.7,0.2
"1994Apr06",27.6,0
"1994Apr13",28,0.2
"1994Apr20",28,0.2
"1994Apr27",28.1,0.3
"1994May04",27.9,0.1
"1994May11",27.8,0
"1994May18",28.2,0.4
"1994May25",28.1,0.3
"1994Jun01",28.3,0.5
"1994Jun08",28,0.3
"1994Jun15",28.2,0.6
"1994Jun22",27.9,0.3
"1994Jun29",27.6,0.1
"1994Jul06",27.4,0.1
"1994Jul13",27.3,0.1
"1994Jul20",27.4,0.2
"1994Jul27",27.2,0.1
"1994Aug03",27.3,0.3
"1994Aug10",27.6,0.7
"1994Aug17",27.4,0.6
"1994Aug24",27.3,0.5
"1994Aug31",27.1,0.3
"1994Sep07",26.9,0.2
"1994Sep14",26.9,0.1
"1994Sep21",27,0.2
"1994Sep28",27.2,0.5
"1994Oct05",27.3,0.6
"1994Oct12",27.5,0.8
"1994Oct19",27.5,0.8
"1994Oct26",27.6,1
"1994Nov02",27.8,1.1
"1994Nov09",27.9,1.3
"1994Nov16",27.8,1.1
"1994Nov23",27.9,1.2
"1994Nov30",28,1.4
"1994Dec07",27.9,1.3
"1994Dec14",27.9,1.3
"1994Dec21",27.9,1.3
"1994Dec28",27.8,1.3
"1995Jan04",27.6,1.1
"1995Jan11",27.6,1
"1995Jan18",27.6,1
"1995Jan25",27.5,0.8
"1995Feb01",27.4,0.8
"1995Feb08",27.4,0.7
"1995Feb15",27.3,0.5
"1995Feb22",27.5,0.7
"1995Mar01",27.7,0.7
"1995Mar08",27.4,0.4
"1995Mar15",27.7,0.5
"1995Mar22",27.7,0.3
"1995Mar29",27.7,0.2
"1995Apr05",27.9,0.3
"1995Apr12",27.8,0.1
"1995Apr19",28.2,0.4
"1995Apr26",27.9,0.1
"1995May03",28,0.2
"1995May10",27.7,-0.1
"1995May17",27.7,-0.2
"1995May24",27.6,-0.2
"1995May31",27.7,0
"1995Jun07",27.7,0
"1995Jun14",27.7,0.1
"1995Jun21",27.5,0
"1995Jun28",27.3,-0.1
"1995Jul05",27.3,-0.1
"1995Jul12",27.1,-0.2
"1995Jul19",26.9,-0.3
"1995Jul26",26.8,-0.3
"1995Aug02",26.7,-0.3
"1995Aug09",26.3,-0.6
"1995Aug16",26.4,-0.4
"1995Aug23",26.3,-0.5
"1995Aug30",25.9,-0.8
"1995Sep06",26,-0.8
"1995Sep13",26,-0.7
"1995Sep20",26.1,-0.7
"1995Sep27",25.9,-0.8
"1995Oct04",25.6,-1.1
"1995Oct11",25.6,-1.1
"1995Oct18",25.8,-0.9
"1995Oct25",25.6,-1.1
"1995Nov01",25.6,-1
"1995Nov08",25.8,-0.9
"1995Nov15",25.7,-1
"1995Nov22",25.5,-1.1
"1995Nov29",25.7,-0.9
"1995Dec06",25.6,-1
"1995Dec13",25.4,-1.2
"1995Dec20",25.6,-1
"1995Dec27",25.7,-0.9
"1996Jan03",25.6,-1
"1996Jan10",25.6,-1
"1996Jan17",25.9,-0.7
"1996Jan24",25.9,-0.7
"1996Jan31",25.8,-0.9
"1996Feb07",25.6,-1.1
"1996Feb14",25.8,-0.9
"1996Feb21",25.8,-1
"1996Feb28",26.3,-0.6
"1996Mar06",26.2,-0.8
"1996Mar13",26.6,-0.6
"1996Mar20",26.8,-0.5
"1996Mar27",26.8,-0.6
"1996Apr03",27,-0.6
"1996Apr10",27.4,-0.3
"1996Apr17",27.3,-0.4
"1996Apr24",27.6,-0.1
"1996May01",27.4,-0.4
"1996May08",27.6,-0.2
"1996May15",27.3,-0.5
"1996May22",27.2,-0.6
"1996May29",27.3,-0.4
"1996Jun05",27.3,-0.4
"1996Jun12",27.3,-0.4
"1996Jun19",27.3,-0.3
"1996Jun26",27.3,-0.2
"1996Jul03",27.6,0.2
"1996Jul10",27.1,-0.2
"1996Jul17",27.1,-0.1
"1996Jul24",26.9,-0.2
"1996Jul31",26.6,-0.4
"1996Aug07",26.7,-0.3
"1996Aug14",26.5,-0.4
"1996Aug21",26.5,-0.3
"1996Aug28",26.5,-0.2
"1996Sep04",26.4,-0.4
"1996Sep11",26.2,-0.5
"1996Sep18",26.4,-0.3
"1996Sep25",26.3,-0.4
"1996Oct02",26.2,-0.5
"1996Oct09",26.2,-0.5
